fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2022-05,2022-05-01,2022-05-31,5,31,7.635452763910833,9.370509677328295,0.18516142378203682
2022-05,2022-05-01,2022-05-31,6,31,7.669046820597094,8.181410872885419,0.06262539068736739
2022-05,2022-05-01,2022-05-31,7,31,7.7964417083304465,8.691857517054348,0.10301777346982521
2022-06,2022-06-01,2022-06-30,1,27,3.3647529368462923,3.676753801727622,0.08485769831385703
2022-06,2022-06-01,2022-06-30,2,26,3.8616220870626012,4.1509961733021665,0.06971196169746519
2022-06,2022-06-01,2022-06-30,3,26,4.074662985027514,4.714951667914447,0.13579962807342005
2022-06,2022-06-01,2022-06-30,4,26,4.359928655844012,6.028777143513753,0.2768137630473243
2022-06,2022-06-01,2022-06-30,5,26,4.864446733402934,6.49852054169018,0.2514532035105709
2022-06,2022-06-01,2022-06-30,6,26,5.112906982991051,6.8808541509142485,0.2569371663964557
2022-06,2022-06-01,2022-06-30,7,26,4.863079823970335,6.3397403489660125,0.23292129388808736
2022-07,2022-07-01,2022-07-31,1,11,4.047102764470811,4.123105625617661,0.01843340143280081
2022-07,2022-07-01,2022-07-31,2,17,4.892411679093762,5.5835894000396635,0.12378734742583186
2022-07,2022-07-01,2022-07-31,3,10,5.983101137212496,7.745966692414834,0.22758496456337818
2022-07,2022-07-01,2022-07-31,4,15,5.236042255493594,7.425182377109221,0.2948264447166219
2022-07,2022-07-01,2022-07-31,5,9,4.21618677956466,8.660254037844387,0.5131566855729204
2022-07,2022-07-01,2022-07-31,6,13,3.6065421904177697,7.951777740277279,0.5464483153056527
2022-07,2022-07-01,2022-07-31,7,8,3.081268331778513,7.254309064273454,0.5752499232554944
2022-09,2022-09-01,2022-09-30,1,24,5.880213815587763,5.066228051190222,-0.16066899400754564
2022-09,2022-09-01,2022-09-30,2,23,7.7847584993036385,6.524202433348029,-0.1932122859205534
2022-09,2022-09-01,2022-09-30,3,23,8.404111882636679,6.290088822211047,-0.33608795045322193
2022-09,2022-09-01,2022-09-30,4,23,8.587895520817144,6.8967541199686355,-0.24520830689788298
2022-09,2022-09-01,2022-09-30,5,23,8.79023826786529,6.7308504534038605,-0.30596249741664905
2022-09,2022-09-01,2022-09-30,6,24,8.72291463848065,6.445282512556503,-0.3533797194284245
2022-09,2022-09-01,2022-09-30,7,24,8.801215195890693,8.361618663073955,-0.052573138112367745
2022-10,2022-10-01,2022-10-31,1,26,8.508806358414368,5.727799953532971,-0.4855278514337851
2022-10,2022-10-01,2022-10-31,2,25,12.416080725218317,9.654014708917737,-0.28610542863055377
2022-10,2022-10-01,2022-10-31,3,25,13.761081390663769,12.240914998479484,-0.12418731707336539
2022-10,2022-10-01,2022-10-31,4,25,14.079384081828632,14.397221954252146,0.022076333436649054
2022-10,2022-10-01,2022-10-31,5,25,13.942440268754911,15.491933384829668,0.10001935056034283
2022-10,2022-10-01,2022-10-31,6,25,14.01599216897411,16.403658128600462,0.1455569203471363
2022-10,2022-10-01,2022-10-31,7,26,13.770307361980992,16.93993915164805,0.18710998671790935
2022-11,2022-11-01,2022-11-30,1,30,9.369780665096389,11.16243700990066,0.16059721933608695
2022-11,2022-11-01,2022-11-30,2,30,9.900149076819776,13.141537200799608,0.24665212862484664
2022-11,2022-11-01,2022-11-30,3,30,9.679136338288549,13.538833036861043,0.2850834106650124
2022-11,2022-11-01,2022-11-30,4,30,9.73083871483413,13.67966861197059,0.2886641489020413
2022-11,2022-11-01,2022-11-30,5,30,9.655046835473414,12.693830522475606,0.23939059857635125
2022-11,2022-11-01,2022-11-30,6,30,9.61821628242868,10.712920547948942,0.10218541812389803
2022-11,2022-11-01,2022-11-30,7,30,9.821394155389957,11.329901441171794,0.13314390187897518
2022-12,2022-12-01,2022-12-31,1,31,9.492829068766094,9.657021513703334,0.017002389888461034
2022-12,2022-12-01,2022-12-31,2,31,13.366506604040723,13.96654990071035,0.04296288639180024
2022-12,2022-12-01,2022-12-31,3,31,14.379892173019297,14.089575189914637,-0.020605091295617495
2022-12,2022-12-01,2022-12-31,4,31,14.917113925920004,13.620430574407626,-0.0952013480358549
2022-12,2022-12-01,2022-12-31,5,31,15.379233845711331,14.327955980552325,-0.07337249406586199
2022-12,2022-12-01,2022-12-31,6,31,15.453446281565073,16.379570280707767,0.05654141001693458
2022-12,2022-12-01,2022-12-31,7,31,15.458132490305331,18.023282433491946,0.14232423825417617
2023-01,2023-01-01,2023-01-31,1,31,11.108489068182745,13.209234306641015,0.15903610986763317
2023-01,2023-01-01,2023-01-31,2,31,11.083249500461857,15.35914144105886,0.27839394259150874
2023-01,2023-01-01,2023-01-31,3,31,10.73009335552297,14.768099884330022,0.27342762849888747
2023-01,2023-01-01,2023-01-31,4,31,10.661092891933036,16.97626426476381,0.3720000628135036
2023-01,2023-01-01,2023-01-31,5,31,10.252028568743764,18.092949972563275,0.433368876590591
2023-01,2023-01-01,2023-01-31,6,31,10.268331482777882,17.336331419789314,0.40769870890581583
2023-01,2023-01-01,2023-01-31,7,31,10.41994559487664,17.38093133849704,0.4004955550455749
2023-02,2023-02-01,2023-02-28,1,25,9.651493499474027,12.653853168106544,0.23726841371921614
2023-02,2023-02-01,2023-02-28,2,24,9.865914563088841,14.628738838327793,0.3255799647444789
2023-02,2023-02-01,2023-02-28,3,23,12.533483192202109,16.423736798755105,0.23686775148807004
2023-02,2023-02-01,2023-02-28,4,22,12.614138597152019,16.65696687439059,0.2427109513830069
2023-02,2023-02-01,2023-02-28,5,21,12.888149373328465,14.262838827827068,0.09638259753847578
2023-02,2023-02-01,2023-02-28,6,20,12.577945286615593,17.362315513778686,0.2755606084549166
2023-02,2023-02-01,2023-02-28,7,19,12.616206786407696,15.907628094060641,0.20690836422570424
2023-03,2023-03-01,2023-03-31,1,20,10.36434563383716,13.038404810405298,0.20509097665337905
2023-03,2023-03-01,2023-03-31,2,20,9.474616440523752,13.605146085213491,0.3036005360632571
2023-03,2023-03-01,2023-03-31,3,18,4.941452550231639,8.812869377601524,0.43929129792951893
2023-03,2023-03-01,2023-03-31,4,19,6.00403942989784,11.243711692834308,0.4660091263524434
2023-03,2023-03-01,2023-03-31,5,18,6.153384023703353,12.299503151663394,0.4997046671050964
2023-03,2023-03-01,2023-03-31,6,19,6.082170175524186,10.927993989364149,0.4434321448708922
2023-03,2023-03-01,2023-03-31,7,19,6.362416497659819,10.109922171599022,0.37067601612866663
2023-04,2023-04-01,2023-04-30,1,27,5.945362315455631,7.213670150279747,0.17582004838063348
2023-04,2023-04-01,2023-04-30,2,27,5.53108861228587,7.300431240433424,0.242361385221746
2023-04,2023-04-01,2023-04-30,3,27,5.56533194866076,7.446102634562892,0.2525845772219252
2023-04,2023-04-01,2023-04-30,4,27,5.406487891040624,8.357742030707328,0.3531162039727296
2023-04,2023-04-01,2023-04-30,5,27,5.4449092404987995,9.30551409609338,0.4148728179580461
2023-04,2023-04-01,2023-04-30,6,27,5.488571106272815,9.219544457292887,0.40468087857299506
2023-04,2023-04-01,2023-04-30,7,27,5.7312974943135515,9.722063490767715,0.41048549006534285
2023-05,2023-05-01,2023-05-31,1,31,4.178482205998722,3.6278492695508513,-0.1517794416293492
2023-05,2023-05-01,2023-05-31,2,31,5.523354209147027,4.852668039004336,-0.138209777539265
2023-05,2023-05-01,2023-05-31,3,31,5.838338285367544,5.254798114657351,-0.11104901805504341
2023-05,2023-05-01,2023-05-31,4,31,6.136665278248868,5.35814122801507,-0.14529741137902108
2023-05,2023-05-01,2023-05-31,5,31,6.319109046841087,5.303681010210221,-0.19145722276208632
2023-05,2023-05-01,2023-05-31,6,31,6.3455161667120255,5.385164807134504,-0.17833277048553953
2023-05,2023-05-01,2023-05-31,7,31,6.288080341543951,5.733320830193918,-0.09676059090020783
2023-06,2023-06-01,2023-06-30,1,30,3.8968944388232374,4.2972859651955515,0.09317311661712835
2023-06,2023-06-01,2023-06-30,2,30,3.9397949251944393,4.586211217697385,0.14094778060123758
2023-06,2023-06-01,2023-06-30,3,30,3.9487286754341295,5.049752469181039,0.21803520082747174
2023-06,2023-06-01,2023-06-30,4,30,3.815267274341524,5.128352561983234,0.2560442699231884
